"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
"2018","ALB","800314","802952","ISCED 3A","ISCED 3A","female","yes","yes",480.361,527.691,457.733,5.71429,"yes","yes",,"2","2","1","101-200",-0.7418,0.8257
"2018","ALB","800062","806537","ISCED 3A","ISCED 3A","male","yes","yes",509.759,439.038,543.553,3.71826,"yes","yes",,"1","1","1","0-10",-0.9393,0.1754
"2018","ALB","800171","803481","ISCED 2","ISCED 2","male",,"yes",357.951,271.812,269.695,3.24763,,"yes",,"2","1","1","0-10",-0.7032,0.0224
"2018","ALB","800106","802726","ISCED 3A","ISCED 3B, C","male","yes","no",386.832,306.834,330.79,3.64766,"yes","no",,"2","1","1","0-10",-1.3496,-0.0969
"2018","ALB","800307","805409","ISCED 3A","ISCED 3A","male","yes","yes",613.764,538.608,515.931,3.11767,"yes","yes",,"3+","2","1","26-100",-0.629,-0.8423
"2018","ALB","800187","801918","ISCED 3A","ISCED 3A","female","yes","yes",530.713,500.759,522.916,1.67702,"yes","yes",,"1","1","1","11-25",-1.1229,-0.7921
"2018","ALB","800252","806156","ISCED 2","ISCED 2","female","yes","yes",439.174,468.373,401.951,3.6679,"yes","yes",,"2","1","0","0-10",-1.6244,-1.8055
"2018","ALB","800236","803867","ISCED 3B, C","ISCED 3A","male","yes","yes",514.134,351.961,398.019,3.39994,"yes","yes",,"3+","1","2","26-100",-0.3576,0.3679
"2018","ALB","800101","803869","ISCED 2","ISCED 2","female","yes","yes",384.779,360.941,429.884,3.57323,"yes","yes",,"2","2","3+","26-100",0.2624,-1.5213
"2018","ALB","800165","802671","ISCED 2","ISCED 2","female","yes","yes",457.886,357.264,375.85,3.45567,"yes","yes",,"2","1","1","101-200",-1.0959,-0.8403
"2018","ALB","800175","806032","ISCED 3A","ISCED 3A","female","yes","yes",533.824,498.352,501.998,3.65377,"yes","no",,"2","1","0","0-10",-1.9625,-1.2144
"2018","ALB","800058","806021","ISCED 3A","ISCED 3A","male","yes","yes",345.769,315.114,399.329,2.96881,"yes","yes",,,"2","1","11-25",-0.2534,-0.3714
"2018","ALB","800092","802463","ISCED 3B, C","ISCED 3A","female","yes","yes",400.921,342.77,332.922,3.45567,"yes","yes",,"3+","1",,"11-25",0.0435,0.0646
"2018","ALB","800146","801026","ISCED 3A","ISCED 3A","female","yes","yes",543.269,465.791,483.568,3.61686,"yes","yes",,"2","1","1","0-10",-1.2612,0.2505
"2018","ALB","800131","800788","ISCED 3B, C","ISCED 2","female","yes","yes",513.948,412.985,393.122,2.84585,"yes","no",,"1","1",,"11-25",-0.9352,-0.6468
"2018","ALB","800151","801001","ISCED 3A","ISCED 3B, C","male","yes","yes",628.803,576.488,578.897,5.35714,"yes","yes",,"2","1","1","26-100",-0.8399,-0.2682
"2018","ALB","800207","805458","ISCED 3A","ISCED 3A","male","no","yes",461.394,388.024,479.286,3.65377,"yes","no",,"2","0","0","11-25",-2.6149,-1.8763
"2018","ALB","800082","806811","ISCED 2","ISCED 2","female","yes","yes",492.111,422.123,434.761,3.51215,"yes","yes",,"2","1","0","0-10",-1.5273,-1.762
"2018","ALB","800031","806433","ISCED 2","ISCED 3B, C","male","yes","yes",328.211,311.622,287.188,5.875,"yes","yes",,"1","1","0","0-10",-1.4731,-0.1262
"2018","ALB","800175","800747","ISCED 2","ISCED 3A","male","yes","yes",429.898,380.028,445.357,3.65377,"yes","yes",,"2","0","0","0-10",-1.5334,-0.9003
"2018","ALB","800335","801067","ISCED 2","ISCED 3A","male","yes","yes",419.91,414.637,481.363,1.23277,"yes","yes",,"2","2","1","0-10",-0.3858,-1.0223
"2018","ALB","800257","800046","ISCED 2","ISCED 2","male","yes","yes",372.042,348.7,327.903,3.83333,"yes","yes",,"2","2","2","0-10",-0.4183,-1.6219
"2018","ALB","800077","803633","ISCED 3A","ISCED 3A","male","yes","yes",503.255,507.485,483.324,3.53693,"yes","yes",,"3+","1","2","0-10",0.1255,-0.2878
"2018","ALB","800128","805378","ISCED 3B, C","ISCED 3A","female","yes","yes",618.968,574.599,561.848,3.65208,"yes","yes",,"2","1","1","26-100",-1.0554,0.2869
"2018","ALB","800196","802744","ISCED 2","ISCED 2","male","no","yes",396.653,323.616,329.26,3.60604,"yes","yes",,"2","0","1","11-25",-1.3555,-1.924
"2018","ALB","800017","802728","ISCED 2","ISCED 3A","female","yes","yes",503.084,514.213,488.42,3.35644,"yes","yes",,"2","0","2","11-25",-0.9943,-1.1944
"2018","ALB","800196","804780","ISCED 2","ISCED 2","male","no","yes",468.78,336.559,386.778,3.60604,"yes","yes",,"3+","0","1","0-10",-1.4859,-2.2989
"2018","ALB","800013","804449","ISCED 2","ISCED 2","male","yes","yes",480.795,325.258,444.688,6.91135,"yes","yes",,"1","1","0","11-25",-1.6563,-0.2454
"2018","ALB","800075","804129","ISCED 3A","ISCED 3A","female","yes","yes",471.985,456.084,431.676,3.43063,"yes","yes",,"2","2","1","26-100",0.0962,-0.5775
"2018","ALB","800170","804398","ISCED 2","ISCED 3A","male","yes","yes",498.474,421.986,522.501,3.52171,"yes","yes",,"3+","1","2","11-25",-0.5455,-0.8657
"2018","ALB","800189","806066","ISCED 3A","ISCED 3A","female","yes","yes",438.402,473.312,501.424,3.32099,"yes","yes",,"1","1","0","11-25",-2.0222,-1.5439
"2018","ALB","800147","800624","ISCED 2","ISCED 1","male","no","yes",478.978,361.646,363.442,13.51452,"yes","yes",,"1","0","0","11-25",-2.2089,-1.8899
"2018","ALB","800211","801245","ISCED 2","ISCED 2","male","yes","yes",436.489,372.307,363.137,3.57143,"yes","yes",,"2","1","1","11-25",-1.1034,-1.7333
"2018","ALB","800146","806055","ISCED 3A","ISCED 2","male","yes","yes",432.303,322.513,356.86,3.61686,"yes","yes",,"2","1","0","0-10",-1.417,-1.2028
"2018","ALB","800146","804117","ISCED 3A","ISCED 3A","male","yes","yes",392.586,405.55,507.573,3.61686,"yes","yes",,"3+","1","0","11-25",-1.1064,0.2393
"2018","ALB","800285","804851","ISCED 2","ISCED 2","male","yes","yes",432.112,393.347,331.204,5.93762,"yes","yes",,"3+","1","1","0-10",-0.848,-1.641
"2018","ALB","800232","806581","ISCED 3B, C","ISCED 3A","female","yes","yes",454.873,439.432,456.796,3.37434,"yes","no",,"2","1","0","201-500",-2.0018,-0.6759
"2018","ARE","78400317","78414533","ISCED 3A","ISCED 3A","male","yes","yes",558.171,489.987,493.529,8.87073,"yes","yes",,"2","3+","2","101-200",0.3615,0.9912
"2018","ARE","78400397","78401131","ISCED 3A","ISCED 3B, C","male","yes","yes",365.381,332.016,371.635,1.6,"yes","no",,"2","1","0","26-100",-1.4031,-0.6039
"2018","ARE","78400022","78406316","ISCED 3A","ISCED 3A","male","yes","yes",375.144,329.006,334.012,2.75556,"no","yes",,"3+","2","2","11-25",0.5787,0.1735
"2018","ARE","78400575","78417433","ISCED 3B, C","ISCED 3A","female","yes","yes",332.312,407.534,351.618,2.94184,"yes","yes",,"3+","1","3+","0-10",0.82,-0.0499
"2018","ARE","78400475","78409244","ISCED 3A","ISCED 3A","male","yes","yes",272.184,202.388,200.935,2.82857,"yes","yes",,"3+","3+","3+","0-10",1.2645,0.9533
"2018","ARE","78400107","78401983","ISCED 3A","ISCED 3A","male","yes","yes",380.32,254.749,364.082,5.75005,"yes","yes",,"0","2","1","0-10",-0.6061,0.3097
"2018","ARE","78400683","78416427","ISCED 2","ISCED 2","female","yes","yes",338.865,375.745,353.339,2.70823,"no","yes",,"3+","2","3+","0-10",-0.0889,-1.5573
"2018","ARE","78400080","78406840","ISCED 3A","ISCED 3A","female","yes","yes",359.883,377.997,351.108,3.54286,"yes","yes",,"3+","3+","3+","0-10",2.2302,0.1101
"2018","ARE","78400292","78401644","ISCED 3A","ISCED 3A","female","yes","yes",488.368,539.188,448.393,1,"yes","yes",,"1","3+","3+","more than 500",1.0619,1.2862
"2018","ARE","78400730","78400948","ISCED 3A","ISCED 3B, C","male","no","yes",480.506,478.571,466.995,2.25645,"yes","no",,"1","1","1","201-500",-0.7295,0.4318
"2018","ARE","78400258","78410609","ISCED 3A","ISCED 3A","female","yes","yes",266.905,346.633,284.196,3.74286,,"yes",,"3+","3+","3+","201-500",2.2302,-0.2234
"2018","ARE","78400576","78403471","ISCED 2","ISCED 3A","male","yes","yes",450.887,391.097,439.941,4.71875,,,,"2","2",,"0-10",0.539,-0.1653
"2018","ARE","78400749","78412793","ISCED 3A","ISCED 3A","female","yes","no",397.091,536.688,498.166,1.8,"yes","no",,"1","1","1","0-10",-1.8724,0.015
"2018","ARE","78400051","78404344","ISCED 3A","ISCED 3A","male","yes","yes",421.622,342.356,413.188,1.07692,"yes","no",,"3+","1","2","11-25",-0.1924,0.619
"2018","ARE","78400446","78417826","ISCED 3A","ISCED 3A","female","yes","yes",507.032,572.917,595.266,3.13425,"yes","yes",,"3+","3+","3+","101-200",2.1788,1.2504
"2018","ARE","78400593","78404391","ISCED 3B, C","ISCED 3A","male","yes","yes",387.994,432.725,370.741,1.2,,"no",,"3+","3+",,"26-100",0.288,-1.3468
"2018","ARE","78400166","78409469","ISCED 3A","ISCED 3A","female","yes","yes",543.401,516.636,509.003,2.45714,"no","no",,"1","3+","1","0-10",-0.1652,0.6737
"2018","ARE","78400690","78415757","ISCED 3A","ISCED 3A","male","yes","yes",410.358,261.292,373.74,1.8,"yes","yes",,"2",,"1","201-500",-1.1228,-0.0444
"2018","ARE","78400443","78402059","ISCED 3A","ISCED 3A","male","no","yes",540.137,535.092,538.684,7.47059,"no","no",,"1","3+","2","101-200",-0.3226,0.1243
"2018","ARE","78400760","78410544","ISCED 2","ISCED 2","male","yes","no",351.299,246.972,299.943,1.2,"yes","yes",,"0","0","0","0-10",-3.6442,-0.5293
"2018","ARE","78400113","78400468","ISCED 3A","ISCED 3A","female","yes","yes",590.247,581.427,477.732,2.08404,"yes","no",,"1","3+","2","11-25",-0.4882,0.8185
"2018","ARE","78400107","78415756","ISCED 2","ISCED 3A","male","yes","yes",360.151,282.565,342.544,5.09931,"yes","yes",,"3+","1","3+","11-25",0.1841,0.8238
"2018","ARE","78400103","78410884","ISCED 3A","ISCED 3A","female","yes","yes",506.157,557.165,502.085,1.23077,"yes","no",,"1","2","1","11-25",-0.6648,0.6219
"2018","ARE","78400206","78406956","ISCED 3A","ISCED 3A","male","yes","yes",362.651,284.125,301.636,3.31429,"yes","yes",,"3+","2","3+","101-200",0.4911,-0.163
"2018","ARE","78400250","78420447","ISCED 3A","ISCED 3A","female","yes","yes",534.564,530.821,563.991,1,"yes","yes",,"1","2","1","11-25",-0.9925,0.7388
"2018","ARE","78400066","78419912","ISCED 3A","ISCED 3A","female","yes","yes",408.202,505.038,397.976,7.5,"yes","no",,"3+","3+","2","0-10",1.133,-0.3058
"2018","ARE","78400667","78403272","ISCED 3B, C","ISCED 3A","female","yes","yes",395.371,407.122,372.883,4.61511,"yes","yes",,"1","1","1","101-200",-1.0554,-0.4307
"2018","ARE","78400003","78415384","ISCED 3B, C","ISCED 3B, C","male","no","yes",464.645,360.191,406.657,1.53006,"yes","no",,"0","1","0","11-25",-1.6768,-0.0268
"2018","ARE","78400506","78413233","ISCED 3B, C","ISCED 3A","female","yes","yes",459.942,417.896,402.049,1,"yes","yes",,"3+","3+","2","101-200",1.7447,0.2381
"2018","ARE","78400114","78401458","ISCED 3A","ISCED 3A","male","yes","yes",466.894,404.336,499.608,1.06452,"yes","yes",,"2","2","3+","11-25",0.518,0.6601
"2018","ARE","78400445","78405439","ISCED 3A","ISCED 3A","female","yes","yes",576.613,728.751,676.828,2.02857,"yes","yes",,"1","3+","2","201-500",0.2309,1.0964
"2018","ARE","78400480","78401536","ISCED 3A","ISCED 3A","female","no","yes",434.076,451.734,420.074,4.9297,"yes","yes",,"1","1","0","11-25",-2.3349,-0.0425
"2018","ARE","78400468","78420865","ISCED 3A","ISCED 3A","female","yes","yes",468.249,541.841,611.253,2.4,"yes","yes",,"3+","3+","2","101-200",1.539,1.7132
"2018","ARE","78400197","78416049","ISCED 2","ISCED 3A","male","yes","yes",400.562,407.283,478.029,9.42857,"yes","yes",,"3+","1",,"0-10",-0.2833,-0.3306
"2018","ARE","78400695","78412223","ISCED 2","ISCED 3A","male","yes","yes",429.813,296.992,281.511,1.15019,"yes","yes",,"3+","3+","3+","26-100",2.1788,0.2866
"2018","ARE","78400172","78410339","ISCED 3A","ISCED 3A","female","yes",,496.629,564.947,514.313,2.87227,,,,,"2",,"26-100",,0.8962
"2018","ARE","78400631","78403031","ISCED 2","ISCED 3A","male","no","yes",460.962,484.984,458.79,4,"yes","yes",,"3+","0",,"0-10",0.5124,-0.2815
"2018","ARE","78400188","78420773","ISCED 3A","ISCED 3A","male","yes","yes",524.279,526.004,482.783,3.88885,"yes","yes",,"3+","3+","3+","26-100",2.1788,1.5991
"2018","ARE","78400043","78400231","ISCED 3A","ISCED 3A","female","yes","yes",452.638,400.514,407.303,6.86951,"no","yes",,"2","0","1","0-10",-0.9492,-0.0218
"2018","ARE","78400319","78407218","ISCED 3B, C","ISCED 3B, C","male","yes","yes",264.136,257.716,301.018,5.8523,"yes","yes",,,"3+","3+","11-25",2.287,-0.0401
"2018","ARE","78400685","78420577","ISCED 3A","ISCED 3A","female","yes","yes",556.639,562.66,591.559,1.04762,"yes","yes",,"1","2","2","101-200",-0.247,0.7946
"2018","ARE","78400114","78404383","ISCED 3A","ISCED 3A","male","yes","yes",507.289,487.081,524.863,1.06452,"yes","yes",,"1","1","2","26-100",-0.3184,0.7115
"2018","ARE","78400009","78419185","ISCED 3A","ISCED 3A","female","yes","yes",430.869,454.187,540.052,1.6,"yes","yes",,"1","1","1","101-200",-0.6559,-0.1257
"2018","ARE","78400140","78400427","ISCED 3A","ISCED 3A","male","yes","yes",454.939,389.212,350.878,1.1,"yes","yes",,"1","0","1","0-10",-1.8272,-0.1852
"2018","ARE","78400757","78406354","ISCED 3A","ISCED 3A","female","yes","yes",337.951,414.212,358.843,1.14286,"yes","yes",,"2","2","2","11-25",0.0754,0.2215
"2018","ARE","78400455","78406938","ISCED 3A","ISCED 3A","male","no","no",475.832,312.348,362.506,1.04,"yes","yes",,"0","0","1","0-10",-2.7417,-1.1047
"2018","ARE","78400562","78414057",,,"female",,,411.734,396.217,415.688,1.43274,,,,,,,,,
"2018","ARE","78400306","78414028","ISCED 3A","ISCED 3B, C","male","yes","yes",438.901,268.002,356.717,2.62105,"yes","yes",,"3+","3+","3+","26-100",4.3658,0.5782
"2018","ARE","78400508","78401140","ISCED 3A","ISCED 3A","female","yes","yes",551.211,484.595,483.744,3.26809,"yes","yes",,"3+","3+","2","26-100",1.1279,0.9091
"2018","ARE","78400603","78403544","ISCED 3A",,"male","yes","yes",449.672,481.594,465.75,2.63425,"yes","no",,"3+","3+","2","0-10",0.1628,-1.1315
"2018","ARG","3200399","3205205","ISCED 1","ISCED 3A","female","no","no",302.199,355.161,346.25,15.2278,"yes","yes",,"2","1","0","0-10",-1.8463,-1.0113
"2018","ARG","3200090","3205525","ISCED 2","ISCED 2","female",,"yes",355.193,405.695,313.712,94.62148,,"yes",,"3+","1","0","26-100",-0.5714,-0.6088
"2018","ARG","3200232","3206583","ISCED 3A","ISCED 3A","male","yes","yes",242.117,252.338,303.747,7.66797,"yes","yes",,"2","2","1","0-10",0.0586,-0.8103
"2018","ARG","3200325","3204785","ISCED 3A","ISCED 3A","female","no","yes",326.929,332.024,297.666,90.60845,"no","no",,"3+","0","3+","0-10",0.0337,-0.5836
"2018","ARG","3200390","3207537","ISCED 1","ISCED 3A","female","yes","yes",283.245,297.776,315.676,11.18165,"yes","no",,"2","1","0","0-10",-1.3312,-1.3432
"2018","ARG","3200294","3201641","ISCED 2","ISCED 3A","female","no","yes",400.768,486.54,509.882,51.6101,"yes","no",,"3+","2","0","0-10",-0.8594,0.1029
"2018","ARG","3200111","3205811","ISCED 3A","ISCED 3A","female","yes","yes",328.118,461.869,425.04,9.53814,"yes","no",,"3+","3+","3+","201-500",0.2445,1.0301
"2018","ARG","3200226","3204156","ISCED 2","ISCED 3A","male","yes","yes",372.425,412.143,412.592,5.9334,"yes","yes",,"3+","1","2","0-10",-0.9554,-0.6328
"2018","ARG","3200110","3203139","ISCED 2","ISCED 3A","male","yes","yes",418.225,413.371,467.287,18.81288,"yes","yes",,"2","3+","2","26-100",0.1573,0.4411
"2018","ARG","3200281","3201805","ISCED 3A","ISCED 3A","female","yes","yes",389.14,386.612,419.244,13.07461,"no","no",,"3+","3+","1","0-10",0.1505,0.0292
"2018","ARG","3200232","3208462","ISCED 3A","less than ISCED1","male","yes","yes",235.958,331.547,321.238,5.99001,"yes","yes",,"1","2","2","0-10",-0.3715,-0.4929
"2018","ARG","3200313","3200132","ISCED 2","ISCED 3A","female","yes","yes",408.86,432.836,348.804,12.25476,"yes","no",,"1","3+","0","11-25",-1.6879,-0.5657
"2018","ARG","3200066","3202418",,,"male","yes","yes",328.511,423.402,403.941,118.19525,"yes","yes",,"3+","1","1","0-10",-0.4795,-1.3052
"2018","ARG","3200233","3207346","ISCED 1",,"female","yes","yes",300.527,352.148,278.709,21.06704,"yes","yes",,"3+","2","1","26-100",-0.2243,-1.8924
"2018","ARG","3200074","3211259","ISCED 2","ISCED 1","female","yes","no",372.526,258.981,347.609,133.54676,"yes","yes",,"3+","2","2","0-10",-0.5577,-1.6764
"2018","ARG","3200125","3209605","ISCED 2","ISCED 2","female","no","yes",343.515,412.324,463.579,20.23367,"yes","yes",,"2","0","0","0-10",-1.9077,-0.8885
"2018","ARG","3200344","3200565","ISCED 3A","ISCED 3A","male","yes","yes",372.36,373.38,370.301,69.65912,"yes","yes",,"3+","2","1","26-100",-0.3426,0.7406
"2018","ARG","3200387","3206158","ISCED 2","ISCED 1","female","no","no",331.928,309.698,371.011,11.08845,"no","yes",,"1","0","0","0-10",-3.8293,-3.2665
"2018","ARG","3200260","3210182",,,"female","yes","yes",299.124,388.085,238.025,8.61866,"yes","yes",,"2","2","1","0-10",-0.8998,-0.7623
"2018","ARG","3200454","3214282","ISCED 3A","ISCED 3A","male","yes","yes",451.837,493.92,533.27,10.19799,"yes","no",,,"3+","1","101-200",-0.3457,1.0199
"2018","ARG","3200015","3205249","ISCED 2","less than ISCED1","female","no","yes",287.381,367.914,417.615,72.73908,"yes","yes",,"3+","1","1","11-25",-0.7485,-0.9751
"2018","ARG","3200329","3200543","ISCED 3A","ISCED 2","male",,,173.064,274.721,273.899,123.03092,,"yes",,,,"1","0-10",,-0.6072
"2018","ARG","3200226","3209091","ISCED 2",,"male","yes","no",202.392,199.18,301.338,5.9334,,"yes",,"2",,"0","0-10",-2.1669,-0.6119
"2018","ARG","3200259","3207308","ISCED 3A","ISCED 3A","male","yes","yes",424.382,369.365,530.948,113.4326,"yes","yes",,"3+","2","0","11-25",-0.9363,-0.6907
"2018","ARG","3200068","3204711","ISCED 2","ISCED 3A","male","yes","yes",373.778,375.471,433.364,19.24662,"no","no",,"3+","2","1","11-25",-0.7614,-0.966
"2018","ARG","3200385","3212221","ISCED 2","ISCED 3A","male","no","yes",234.87,170.086,273.899,20.16181,"yes","yes",,"3+","0","1","26-100",-0.8151,0.0163
"2018","ARG","3200073","3205394","ISCED 3A","ISCED 3A","male","yes","yes",482.956,552.779,564.221,24.7903,"yes","yes",,"3+","1","0","11-25",-0.5254,0.6038
"2018","ARG","3200385","3202737","ISCED 3A","ISCED 3A","male","yes","yes",445.507,482.205,494.309,28.20907,"yes","yes",,"3+","2","1","201-500",-0.4406,0.1748
"2018","ARG","3200446","3206673","ISCED 3A","ISCED 3A","female","yes","yes",376.327,466.455,359.431,8.65597,"yes","yes",,"3+","3+","3+","26-100",0.7024,1.0611
"2018","ARG","3200301","3206005","ISCED 3A","ISCED 3A","male","yes","yes",591.069,509.472,564.225,14.02857,"yes","no",,"2","2","2","101-200",-0.2883,0.5047
"2018","ARG","3200303","3207896","ISCED 3A","ISCED 3A","male","yes","yes",391.204,405.732,316.165,8.34688,"yes","no",,"1","3+","1","11-25",-0.6454,0.5421
"2018","ARG","3200291","3213947","less than ISCED1","ISCED 1","female","no","yes",478.896,447.6,413.455,14.66939,"yes","yes",,"1","1","3+","0-10",-0.8828,-2.1486
"2018","ARG","3200340","3206467","ISCED 3A","ISCED 3A","male","yes","yes",392.214,383.373,437.146,14.22873,"no","no",,"2","1","0","11-25",-1.6178,-1.2051
"2018","ARG","3200267","3211583","ISCED 2","ISCED 2","male","yes","no",301.05,268.372,283.308,9.13562,"no","yes",,"2","0","1","0-10",-2.1603,-2.092
"2018","ARG","3200348","3202409","ISCED 1","less than ISCED1","male","no","no",325.621,349.436,348.889,9.73362,"no","yes",,"2",,,"0-10",-3.199,-3.8657
"2018","ARG","3200046","3200897","ISCED 3A","ISCED 2","male","yes","yes",398.567,379.922,404.524,76.52944,"yes","yes",,"3+","1","1","101-200",-0.9587,0.4246
"2018","ARG","3200303","3204029","ISCED 3A","ISCED 3A","male","yes","yes",426.211,424.518,537.197,8.34688,"yes","yes",,"3+","2","0","26-100",-0.7088,-0.7451
"2018","ARG","3200293","3201743","ISCED 3A","ISCED 3A","female","yes","yes",537.466,483.982,508.174,106.80967,"yes","yes",,"3+","2","2","26-100",0.1291,0.8255
"2018","ARG","3200352","3213713","ISCED 3A",,"female","yes","yes",372.174,428.03,372.221,83.69361,"yes","no",,"2","2","2","0-10",-0.1175,0.7267
"2018","ARG","3200179","3211931","ISCED 1","ISCED 1","male","yes","no",248.63,318.444,388.179,88.32665,"yes","no",,"3+","0","1","0-10",-2.3742,-2.7631
"2018","ARG","3200151","3209073","ISCED 2","ISCED 3A","female","yes","no",280.405,279.659,326.851,92.61156,"no","yes",,"3+","1","0","0-10",-1.0643,-1.2494
"2018","ARG","3200228","3213919","ISCED 3A","ISCED 3A","female","no","no",297.824,352.25,398.549,19.40842,"no","yes",,"2","0","0","0-10",-2.9572,-2.1846
"2018","ARG","3200440","3210786","ISCED 1","ISCED 3A","female","yes","yes",468.812,414.546,433.394,14.1927,"no","yes",,"3+","2","2","101-200",0.414,0.7559
"2018","ARG","3200155","3212097","ISCED 3A","ISCED 3A","male","yes","yes",504.364,538.947,470.005,9.17688,"no","yes",,"2","1","1","0-10",-1.2161,-0.5535
"2018","ARG","3200043","3207605","ISCED 1","ISCED 2","male","yes","yes",375.79,341.653,419.581,48.26815,"yes","yes",,"3+","2","1","11-25",-0.6618,-1.786
"2018","ARG","3200011","3207598","ISCED 3A","ISCED 3A","female","yes","yes",365.348,393.308,433.388,14.02817,"yes","yes",,"3+","3+","1","11-25",0.2228,-0.5288
"2018","ARG","3200370","3200597","ISCED 3A","ISCED 3A","female","yes","no",381.757,402.86,329.944,87.58771,,"no",,"2","2","0","0-10",-1.8567,-1.6331
"2018","ARG","3200086","3212920","ISCED 3A","ISCED 2","male","yes","yes",361.02,536.146,459.9,24.27652,"yes","yes",,"3+","1","3+","26-100",0.0444,-0.192
"2018","ARG","3200136","3203649","ISCED 3A","ISCED 1","male","yes","yes",359.92,394.507,402.73,18.43366,"yes","no",,"2","1","2","11-25",-0.6372,0.6592
"2018","ARG","3200096","3204778",,,"male","no",,272.51,375.347,359.947,185.2008,,,,"2","1","0","0-10",-2.0218,-1.9296
"2018","AUS","3600234","3607298","ISCED 3A","ISCED 3A","female","yes","yes",567.403,617.016,611.024,9.34774,"yes","yes",,"2","3+","3+","201-500",1.5219,1.0353
"2018","AUS","3600280","3600078","ISCED 3A","ISCED 2","female","yes","yes",453.741,563.449,602.75,19.92666,"yes","yes",,"3+","3+","3+","201-500",2.1051,1.3286
"2018","AUS","3600733","3609231",,,"male",,,453.533,430.08,542.833,24.82976,,,,,,,,,
"2018","AUS","3600031","3612466","ISCED 2","ISCED 2","female","yes","yes",542.856,588.826,477.175,23.63225,"yes","yes",,"2","3+","2","101-200",0.4296,-0.438
"2018","AUS","3600067","3620680","ISCED 3A","ISCED 3A","male","yes","yes",604.359,650.337,607.964,3.67024,"yes","yes",,"3+","3+","3+","201-500",1.061,0.4615
"2018","AUS","3600524","3613965","ISCED 3A","ISCED 3A","female","yes","yes",676.712,688.022,616.318,22.66884,"yes","yes",,"2","3+","3+","201-500",0.9116,1.547
"2018","AUS","3600636","3606764","ISCED 3A","ISCED 3A","male","yes","yes",451.313,544.483,521.95,22.99959,"yes","yes",,"2","3+","2","26-100",0.5013,0.356
"2018","AUS","3600182","3608144",,,"male","yes","yes",542.034,648.872,597.107,5.85295,"yes","yes",,"2","2","1","26-100",-0.3609,-1.0095
"2018","AUS","3600390","3606329","ISCED 3A","ISCED 3A","male","yes","yes",490.697,459.219,528.758,28.01978,"yes","yes",,"3+","2","2","26-100",0.5756,-0.484
"2018","AUS","3600573","3618035","ISCED 3A","ISCED 3A","male","yes","yes",685.655,686.578,586.771,10.48468,"yes","yes",,"1","2","2","26-100",-0.5732,-0.3796
"2018","AUS","3600105","3613622","ISCED 2",,"female","no","yes",450.273,416.851,458.551,28.26773,"no","no",,"3+","1","2","26-100",-0.9413,-2.4445
"2018","AUS","3600203","3607107","ISCED 2","ISCED 2","female","yes","yes",378.998,362.144,328.213,22.88668,"yes","yes",,"3+","2","3+","11-25",0.4678,-1.1769
